tax_id,parent_id,rank,tax_name,root,rank_0,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8
Root,Root,root,Root,Root,,,,,,,,,
nucleus,Root,rank_0,nucleus,Root,nucleus,,,,,,,,
Eukaryota,nucleus,rank_1,Eukaryota,Root,nucleus,Eukaryota,,,,,,,
Stramenopiles,Eukaryota,rank_2,Stramenopiles,Root,nucleus,Eukaryota,Stramenopiles,,,,,,
Ochrophyta,Stramenopiles,rank_3,Ochrophyta,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,,,,,
Chrysophyceae,Ochrophyta,rank_4,Chrysophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,,,,
Chrysophyceae_X,Chrysophyceae,rank_5,Chrysophyceae_X,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,,,
Chrysophyceae_Clade_C,Chrysophyceae_X,rank_6,Chrysophyceae_Clade_C,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade_C,,
Ochromonas,Chrysophyceae_Clade_C,rank_7,Ochromonas,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade_C,Ochromonas,
Ochromonas_sp.,Ochromonas,rank_8,Ochromonas_sp.,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade_C,Ochromonas,Ochromonas_sp.
Raphidophyceae,Ochrophyta,rank_4,Raphidophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,,,,
Raphidophyceae_X,Raphidophyceae,rank_5,Raphidophyceae_X,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,Raphidophyceae_X,,,
Raphidophyceae_XX,Raphidophyceae_X,rank_6,Raphidophyceae_XX,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,Raphidophyceae_X,Raphidophyceae_XX,,
Heterosigma,Raphidophyceae_XX,rank_7,Heterosigma,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,Raphidophyceae_X,Raphidophyceae_XX,Heterosigma,
Heterosigma_akashiwo,Heterosigma,rank_8,Heterosigma_akashiwo,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Raphidophyceae,Raphidophyceae_X,Raphidophyceae_XX,Heterosigma,Heterosigma_akashiwo
Dictyochophyceae,Ochrophyta,rank_4,Dictyochophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,,,,
Dictyochophyceae_X,Dictyochophyceae,rank_5,Dictyochophyceae_X,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,,,
Florenciellales,Dictyochophyceae_X,rank_6,Florenciellales,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,,
Florenciella,Florenciellales,rank_7,Florenciella,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Florenciella,
Florenciella_parvula,Florenciella,rank_8,Florenciella_parvula,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Florenciellales,Florenciella,Florenciella_parvula
Archaeplastida,Eukaryota,rank_2,Archaeplastida,Root,nucleus,Eukaryota,Archaeplastida,,,,,,
Rhodophyta,Archaeplastida,rank_3,Rhodophyta,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,,,,,
Florideophyceae,Rhodophyta,rank_4,Florideophyceae,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,,,,
Gracilariales,Florideophyceae,rank_5,Gracilariales,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gracilariales,,,
Gracilariales_X,Gracilariales,rank_6,Gracilariales_X,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gracilariales,Gracilariales_X,,
Gracilaria,Gracilariales_X,rank_7,Gracilaria,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gracilariales,Gracilariales_X,Gracilaria,
Gracilaria_tenuistipitata,Gracilaria,rank_8,Gracilaria_tenuistipitata,Root,nucleus,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gracilariales,Gracilariales_X,Gracilaria,Gracilaria_tenuistipitata
Hacrobia,Eukaryota,rank_2,Hacrobia,Root,nucleus,Eukaryota,Hacrobia,,,,,,
Cryptophyta,Hacrobia,rank_3,Cryptophyta,Root,nucleus,Eukaryota,Hacrobia,Cryptophyta,,,,,
Cryptophyceae,Cryptophyta,rank_4,Cryptophyceae,Root,nucleus,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,,,,
Cryptomonadales,Cryptophyceae,rank_5,Cryptomonadales,Root,nucleus,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,,,
Cryptomonadales_X,Cryptomonadales,rank_6,Cryptomonadales_X,Root,nucleus,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,,
Guillardia,Cryptomonadales_X,rank_7,Guillardia,Root,nucleus,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Guillardia,
Guillardia_theta,Guillardia,rank_8,Guillardia_theta,Root,nucleus,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Guillardia,Guillardia_theta
Phaeophyceae,Ochrophyta,rank_4,Phaeophyceae,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,,,,
Phaeophyceae_X,Phaeophyceae,rank_5,Phaeophyceae_X,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,,,
Phaeophyceae_XX,Phaeophyceae_X,rank_6,Phaeophyceae_XX,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,,
Fucus,Phaeophyceae_XX,rank_7,Fucus,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Fucus,
Fucus_vesiculosus,Fucus,rank_8,Fucus_vesiculosus,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Fucus,Fucus_vesiculosus
Pedinellales,Dictyochophyceae_X,rank_6,Pedinellales,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,,
Pseudopedinella,Pedinellales,rank_7,Pseudopedinella,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pseudopedinella,
Pseudopedinella_elastica,Pseudopedinella,rank_8,Pseudopedinella_elastica,Root,nucleus,Eukaryota,Stramenopiles,Ochrophyta,Dictyochophyceae,Dictyochophyceae_X,Pedinellales,Pseudopedinella,Pseudopedinella_elastica
Haptophyta,Hacrobia,rank_3,Haptophyta,Root,nucleus,Eukaryota,Hacrobia,Haptophyta,,,,,
Prymnesiophyceae,Haptophyta,rank_4,Prymnesiophyceae,Root,nucleus,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,,,
